pick,team,value,round_label,pick_notes
1,Chicago White Sox,"$11,075,900",Round 1,
2,Tampa Bay Rays,"$10,252,700",Round 1,
3,Minnesota Twins,"$9,504,400",Round 1,
4,San Francisco Giants,"$8,770,900",Round 1,
5,Pittsburgh Pirates,"$8,134,800",Round 1,
6,Kansas City Royals,"$7,558,600",Round 1,
7,Baltimore Orioles,"$7,149,900",Round 1,
8,Athletics,"$6,813,600",Round 1,
9,Atlanta Braves,"$6,513,800",Round 1,
10,Colorado Rockies,"$6,238,400",Round 1,
11,Washington Nationals,"$5,985,100",Round 1,
12,Los Angeles Angels,"$5,746,800",Round 1,
13,St. Louis Cardinals,"$5,524,300",Round 1,
14,Miami Marlins,"$5,313,100",Round 1,
15,Arizona Diamondbacks,"$5,114,200",Round 1,
16,Texas Rangers,"$4,929,600",Round 1,
17,Houston Astros,"$4,750,800",Round 1,
18,Cincinnati Reds,"$4,581,900",Round 1,
19,Cleveland Guardians,"$4,420,900",Round 1,
20,Boston Red Sox,"$4,268,100",Round 1,
21,San Diego Padres,"$4,122,500",Round 1,
22,Detroit Tigers,"$3,983,900",Round 1,
23,Chicago Cubs,"$3,852,100",Round 1,
24,Seattle Mariners,"$3,726,300",Round 1,
25,Milwaukee Brewers,"$3,606,600",Round 1,
26,Atlanta Braves,"$3,492,200",Prospect Promotion Incentive,Received for Drake Baldwin winning the National League Rookie of the Year Award.
27,New York Mets,"$3,382,600",Prospect Promotion Incentive,The Mets received a 10-pick penalty on their first pick (No. 17) for exceeding the second surcharge threshold of the Competitive Balance Tax.
28,Houston Astros,"$3,282,200",Prospect Promotion Incentive,Received for Hunter Brown finishing in the top three for the American League Cy Young Award.
29,Cleveland Guardians,"$3,191,100",Competitive Balance Round A,
30,Kansas City Royals,"$3,113,300",Competitive Balance Round A,
31,Arizona Diamondbacks,"$3,042,800",Competitive Balance Round A,
32,St. Louis Cardinals,"$2,970,900",Competitive Balance Round A,
33,Tampa Bay Rays,"$2,898,300",Competitive Balance Round A,
34,Pittsburgh Pirates,"$2,827,300",Competitive Balance Round A,
35,New York Yankees,"$2,758,300",Competitive Balance Round A,The Yankees received a 10-pick penalty on their first pick (No. 25) for exceeding the second surcharge threshold of the Competitive Balance Tax.
36,Philadelphia Phillies,"$2,692,000",Competitive Balance Round A,The Phillies received a 10-pick penalty on their first pick (No. 26) for exceeding the second surcharge threshold of the Competitive Balance Tax.
37,Colorado Rockies,"$2,631,400",Competitive Balance Round A,
38,Colorado Rockies,"$2,569,400",Round 2,
39,Toronto Blue Jays,"$2,509,500",Round 2,The Blue Jays received a 10-pick penalty on their first pick (No. 29) for exceeding the second surcharge threshold of the Competitive Balance Tax.
40,Los Angeles Dodgers,"$2,443,600",Round 2,The Dodgers received a 10-pick penalty on their first pick (No. 30) for exceeding the second surcharge threshold of the Competitive Balance Tax.
41,Chicago White Sox,"$2,386,900",Round 2,
42,Washington Nationals,"$2,331,000",Round 2,
43,Minnesota Twins,"$2,276,700",Round 2,
44,Pittsburgh Pirates,"$2,223,600",Round 2,
45,Los Angeles Angels,"$2,171,900",Round 2,
46,Baltimore Orioles,"$2,128,800",Round 2,
47,Athletics,"$2,079,700",Round 2,
