Rank,Player,Position,School,Class,Photo_Url,Pick,Slot Value,Player Cost,Player Cost Note,
1,Roch Cholowsky,SS,UCLA,C,https://images.sidearmdev.com/resize?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fuclabruins.com%2Fimages%2F2025%2F2%2F17%2F2Y5A7791.jpg&height=300&type=webp,1,"$11,350,600","$10,500,000",,
2,Grady Emerson,SS,Fort Worth Christian,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/fuknqtdzanp8z446uho7.jpg",2,"$10,507,000","$10,000,000",,
3,Vahn Lackey,C,Georgia Tech,C,https://ramblinwreck.com/imgproxy/OOMQjpp1i-ZSKCv5NSeJCkOp3RgQSeYm9T0uIUh4cKQ/fit/2500/2500/ce/0/aHR0cHM6Ly9yYW1ibGlud3JlY2suY29tL3dwLWNvbnRlbnQvdXBsb2Fkcy8yMDI0LzExL1ZhaG4tTGFja2V5LUhTLmpwZw.jpg,3,"$9,740,100","$9,740,100",,
4,Justin Lebron,SS,Alabama,C,https://pbs.twimg.com/media/G4njz5zbIAAs35c?format=jpg&name=large,4,"$8,988,400","$8,988,400",,
5,Chris Hacopian,SS,Texas A&M,C,https://pbs.twimg.com/media/G06KMSTWIAANzdT?format=jpg&name=4096x4096,5,"$8,336,500","$8,336,500",,
6,Jackson Flora,RHP,UC Santa Barbara,C,https://ucsbgauchos.com/images/2024/12/22/Jackson_Flora_Baseball_Headshot_2025_0035_QG8HA.jpg,6,"$7,746,100","$7,746,100",,
7,Jacob Lombard,SS,Gulliver Preparatory School,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/yg5u3qkbtoeagumn2khb.jpg",7,"$7,327,200","$7,327,200",,
8,AJ Gracia,OF,Virginia,C,https://virginiasports.com/imgproxy/AYojBO_XSlnkbFjTuCQKQ_z4ORNiJjH4R6LtZl0sZAs/rs:fit:1980:0:0:0/g:ce:0:0/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3Zpcmdpbmlhc3BvcnRzLWNvbS1wcm9kLzIwMjYvMDEvMTUvUmJsd3pzakI1VWp4bHA3QUs3d2RpZVNLRzk0ODIxUThMbEsxeVJpaC5qcGc.jpg,8,"$6,982,600","$6,982,600",,
9,"Eric ""EJ"" Booth Jr.",OF,Oak Grove,H,https://pbs.twimg.com/profile_images/1743421103337332736/-68qhS3S_400x400.jpg,9,"$6,675,300","$6,675,300",,
10,Gio Rojas,LHP,Marjory Stoneman Douglas,H,https://pbs.twimg.com/profile_images/1813640285219360768/1pLsHmdD_400x400.jpg,10,"$6,393,100","$6,393,100",,
11,Carson Bolemon,LHP,Southside Christian,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/o76mxaqb05lzntatfcpa.jpg",11,"$6,133,500","$6,133,500",,
12,Drew Burress,OF,Georgia Tech,C,https://ramblinwreck.com/imgproxy/ABpf7a2IrFc_LOfanWTINYyx2GNPPaoaOnphPcY02BY/fit/2500/2500/ce/0/aHR0cHM6Ly9yYW1ibGlud3JlY2suY29tL3dwLWNvbnRlbnQvdXBsb2Fkcy8yMDI0LzExL0RyZXctQnVycmVzcy1IUy5qcGc.jpg,12,"$5,889,300","$5,889,300",,
13,Eric Becker,SS,Virginia,C,https://pbs.twimg.com/profile_images/1826687293962252288/Bmg1BeYZ_400x400.jpg,13,"$5,661,300","$5,661,300",,
14,Liam Peterson,RHP,Florida,C,"https://images2.minutemediacdn.com/image/upload/c_crop,w_2676,h_1505,x_336,y_120/c_fill,w_720,ar_16:9,f_auto,q_auto,g_auto/images/voltaxMediaLibrary/mmsport/all_gators/01jnxr24e1d3g3jyxvd3.jpg",14,"$5,444,900","$5,444,900",,
15,Sawyer Strosnider,OF,TCU,C,https://gofrogs.com/images/2024/10/30/Sawyer_Stronsnider_Headshot.png,15,"$5,241,000","$5,241,000",,
16,Cameron Flukey,RHP,Coastal Carolina,C,https://goccusports.com/images/2024/9/10/Flukey-Cameron.png,16,"$5,051,900","$5,051,900",,
17,Logan Schmidt,LHP,Ganesha,H,https://cdn.d1baseball.com/uploads/2025/08/08025911/ACG25-LoganSchmidt.jpg,17,"$4,868,600","$5,000,000",,
18,Jared Grindlinger,OF/LHP,Huntington Beach,H,"https://image.maxpreps.io/rosters/76954902-6d31-4d59-b6f4-dbdf36f35ff5/4/4/a/44ad8b82-67e8-47b8-93f3-fb3bd9da873e/original.jpg?version=638446555953882711&width=1024&crop=1:1,smart",18,"$4,695,500","$4,695,500",,
19,Logan Hughes,OF,Texas Tech,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ftexastech.com%2Fimages%2F2025%2F2%2F6%2FHughes_Logan.png&width=180&height=270&type=webp,19,"$4,530,500","$4,530,500",,
20,Ace Reese,3B,Mississippi State,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fmsstate.sidearmsports.com%2Fimages%2F2024%2F11%2F19%2FReese_Ace_WEB_20241114_BB_Headshots_MM_0002.jpg&width=180&height=270&type=webp,20,"$4,373,900","$4,373,900",,
21,Blake Bowen,OF,JSerra Catholic,H,"https://img.mlbstatic.com/opprops-images/image/upload/ar_1:1,g_auto,c_fill,w_1024/opprops/lat5uozdwjdm0wuibnuf.jpg",21,"$4,224,700","$4,224,700",,
22,James Clark,SS,St. John Bosco,H,https://www.presstelegram.com/wp-content/uploads/2025/06/LPT-L-HSB-DREAMTEAM-0613-HF-01-1.jpg?w=525,22,"$4,082,700","$4,082,700",,
23,Tyler Spangler,SS,De La Salle,H,https://dlsspartans.org/images/2025/4/2/22TylerSpangler.jpg,23,"$3,947,600","$3,947,600",,
24,Mason Edwards,LHP,Southern California,C,https://pbs.twimg.com/media/GsUgNXTbEAAW9yk?format=jpg&name=small,24,"$3,818,700","$3,818,700",,
25,Aiden Robbins,OF,Texas,C,https://pbs.twimg.com/media/GziEQ5oWEAA5-pL?format=jpg&name=4096x4096,25,"$3,696,000","$3,696,000",,
26,Cole Carlon,LHP,Arizona State,C,https://thesundevils.com/imgproxy/170qdChrf9K2WQrJj15NzppZ-RcUSzHKzRFEO9ctXzs/rs:fit:1980:0:0/g:ce/q:90/aHR0cHM6Ly9zdG9yYWdlLmdvb2dsZWFwaXMuY29tL3RoZXN1bmRldmlscy1jb20tcHJvZC8yMDI1LzA1LzEzL1lDaXo0Nks3ak1BOFpEOXhZNXpscmdQUXBENVJlVzRqaWFlYlI4RjUud2VicA.webp,26,"$3,578,800","$3,578,800",,
27,Tyler Bell,SS,Kentucky,C,https://dehayf5mhw1h7.cloudfront.net/wp-content/uploads/sites/258/2025/01/28080612/24102ymorehead35cb.webp,27,"$3,466,500","$3,466,500",,
28,Derek Curiel,OF,LSU,C,https://i0.wp.com/crescentcitysports.com/wp-content/uploads/2025/01/Derek-Curiel-1.jpg?resize=960%2C707&ssl=1,28,"$3,363,600","$3,363,600",,
29,Kevin Roberts Jr.,RHP/OF,Jackson Preparatory,H,https://pbs.twimg.com/media/GTxr6QqXEAES60D.jpg:large,29,"$3,270,200","$3,270,200",,
30,Ryder Helfrick,C,Arkansas,C,https://arkansasrazorbacks.com/wp-content/uploads/2025/01/27-Ryder-Helfrick-BSB-2025-120738-1x1-1.jpg,30,"$3,190,500","$3,190,500",,
31,Tegan Kuhns,RHP,Tennessee,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Futsports.com%2Fimages%2F2025%2F10%2F8%2FKuhns_Tegan.jpg&width=180&height=270&type=webp,31,"$3,118,300","$3,118,300",,
32,Joey Volchko,RHP,Georgia,C,https://images.sidearmdev.com/crop?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Fgeorgiadogs.com%2Fimages%2F2025%2F8%2F19%2FVolchko__Joey.JPG&width=180&height=270&type=webp,32,"$3,044,600","$3,044,600",,
33,Hunter Dietz,LHP,Arkansas,C,https://arkansasrazorbacks.com/wp-content/uploads/2024/01/32-Hunter-Dietz-BSB-2024-64120-1x1-1.jpg,33,"$2,970,200","$2,970,200",,
34,Sean Duncan,LHP,Terry Fox Secondary,H,https://pbs.twimg.com/profile_images/1666087766541893637/NxHecMN6_400x400.jpg,34,"$2,897,400","$3,000,000",,
35,Chase Brunson,OF,TCU,C,https://odstcoreprodncus01.blob.core.windows.net/profile/630427/20240221233609_ec8ac75d-4270-4b2a-92dc-65c8d545ab06.jpg,35,"$2,826,700","$2,826,700",,
36,Jake Brown,OF,LSU,C,https://www.tuscaloosanews.com/gcdn/authoring/authoring-images/2024/05/24/NTTN/73830034007-tus-sec-lsu-south-carolina-gc-2385.jpg?width=474&height=610&fit=crop&format=pjpg&auto=webp,36,"$2,758,800","$2,758,800",,
37,Logan Reddemann,RHP,UCLA,C,https://pbs.twimg.com/profile_images/1951113472122691587/wPjhzcq4_400x400.jpg,37,"$2,696,700","$2,696,700",,
38,Gabe Gaeckle,RHP,Arkansas,C,https://arkansasrazorbacks.com/wp-content/uploads/2024/01/20-Gabe-Gaeckle-BSB-2024-64522-1x1-1.jpg,38,"$2,633,100","$2,633,100",,
39,Alex Hernandez,OF/2B,Georgia Tech,C,https://ramblinwreck.com/imgproxy/RrJkP0RfACu27-AwdjMpl0bTajG4GYsmW6k-BaW8BP4/fit/2500/2500/ce/0/aHR0cHM6Ly9yYW1ibGlud3JlY2suY29tL3dwLWNvbnRlbnQvdXBsb2Fkcy8yMDI0LzExL0FsZXgtSGVybmFuZGV6LUhTLmpwZw.jpg,39,"$2,571,700","$2,571,700",,
40,Will Brick,C,Christian Brothers,H,https://pbs.twimg.com/media/G3T9h_IbUAEtXb5?format=jpg&name=small,40,"$2,504,200","$2,500,000",,
41,Luke Williams,SS/OF,Franklin Regional,H,https://assets-tribhssn.triblive.com/2023/04/6138923_web1_ptr-FRGateway09-040523.jpg,41,"$2,446,100","$2,500,000",,
42,Chris Rembert,2B/OF,Auburn,C,https://assets-cms.thescore.com/uploads/image/file/788484/w640xh480_GettyImages-2210333368.jpg?ts=1748868305,42,"$2,388,800","$2,388,800",,
43,Bo Lowrance,3B,Christ Church Episcopal,H,https://09d1d85a2275582e9dad-7b3e649a230e2ba2cff912d8af17e0b5.ssl.cf1.rackcdn.com/5260305.jpeg,43,"$2,333,200","$2,500,000",,
44,Connor Comeau,SS,Anderson,H,https://pbs.twimg.com/media/G9eSc-SXoAAkm0M?format=jpg&name=large,44,"$2,278,700","$2,500,000",,
45,Beau Peterson,3B,Mill Valley,H,https://pbs.twimg.com/profile_images/1802840932569554945/4lGZ6cZZ_400x400.jpg,45,"$2,225,800","$2,500,000",,"$2,500,000"
46,Brady Ballinger,1B,Kansas,C,https://kuathletics.com/images/2025/1/18/Ballinger_Brady_96.JPG,46,"$2,181,600","$2,181,600",,"$3,000,000"
47,Archer Horn,SS/RHP,St. Ignatius Prep,H,https://siwildcats.com/images/2025/3/23/BASEBALL__56_of_136_.jpg,47,"$2,131,300","$2,700,000",,
48,Ruger Riojas,RHP,Texas,C,https://images.sidearmdev.com/convert?url=https%3A%2F%2Fdxbhsrqyrr690.cloudfront.net%2Fsidearm.nextgen.sites%2Ftexassports_com%2Fimages%2F2025%2F3%2F4%2F2025_UT_Loiusville_BB_5824.jpg&type=webp,48,"$2,081,900","$2,081,900",,"$2,500,000"
