team,pool,rules
Tampa Bay Rays,"$19,590,500",
Pittsburgh Pirates,"$18,592,800",
Chicago White Sox,"$17,090,000",- Will draft Roch Cholowsky with the No. 1 pick 85% of the time
Minnesota Twins,"$16,410,400",
Kansas City Royals,"$15,505,000","- Will draft high school player 60% of time with first pick- Will draft at least one high school pitcher in first three rounds"
Atlanta Braves,"$15,415,700",
Colorado Rockies,"$15,103,600",
St. Louis Cardinals,"$13,741,900",
San Francisco Giants,"$13,674,500",
Athletics,"$13,399,500",- Will draft college player with first pick
Arizona Diamondbacks,"$13,206,700",- 80% chance first pick will be high school position player
Baltimore Orioles,"$12,725,600",- Will not draft a pitcher in the first round
Houston Astros,"$12,723,600",
Cleveland Guardians,"$12,164,300",
Washington Nationals,"$11,905,300","- Will not draft Jacob Lombard, Tyler Bell, Sawyer Strosnider, Ace Reese or Logan Schmidt with first pick. "
Miami Marlins,"$11,567,300",
Los Angeles Angels,"$11,400,500","- Will draft college player with first pick- Will draft college players 95% of time"
Cincinnati Reds,"$10,354,000",- Will select high school posiiton player or college pitcher with first pick
Texas Rangers,"$9,906,000",
Detroit Tigers,"$9,534,800",- Will select a high school position player with first pick 80% of time
San Diego Padres,"$9,103,700",- Will draft a high school player in rounds 1 or 2 80% of the time
Seattle Mariners,"$9,086,300","- Will not draft a C, 1B, or 3B with first pick. "
Milwaukee Brewers,"$8,944,300",- Will always do a big discount pick with first pick
Boston Red Sox,"$8,780,300",
New York Mets,"$8,676,900",
Chicago Cubs,"$8,181,300",- Will not draft a high school player with first pick
New York Yankees,"$7,034,400",
Philadelphia Phillies,"$6,916,700",- Will draft a high school player with first pick 70% of the time.
Toronto Blue Jays,"$4,946,500",
Los Angeles Dodgers,"$4,862,600",
